Sample,0,1,2,3,4,5
Mn_Nb,1.346988483,1.099054051,1.347746558,4.355419042,1.570578897,1.79306924
Mn_Mo,-0.607341418,1.014328681,0.400569978,0.939521177,1.559214881,1.093114708
Mn_Ru,-0.157844998,0.568471505,1.191553908,0.441281968,0.760308266,1.347693135
Mn_Rh,1.694696004,1.363911895,1.798287576,1.727787063,1.762312302,2.038188352
Mn_Pd,4.047876436,1.833128601,1.917295414,3.727496982,2.503408986,2.80741106
Mn_Ag,18.66206818,3.825751063,4.034061169,18.6970685,5.436816962,5.626217518
Mn_Hf,7.151909428,2.610166408,2.76929078,9.392705834,3.373195664,3.644794742
Mn_Ta,2.682860838,1.787958984,2.009235486,5.465789118,2.243055234,2.467380631
Mn_Re,-2.170056864,1.214852689,1.029046207,0.111895706,1.644793505,0.779110617
Mn_Os,-2.244872476,1.011555453,0.7645415,0.478364482,1.350164236,0.932031891
Mn_Ir,0.638777105,1.018295046,1.513087669,1.952324924,1.034981085,1.480359914
Mn_Pt,3.324667762,1.645538325,2.008510949,3.571123997,2.046478133,2.275531362
Mn_Au,11.45508159,2.793124567,3.106680843,11.10338367,3.982426523,4.245520155
Fe_Y,20.47216512,3.658592006,4.124514405,22.10594495,5.228229428,5.743431259
Fe_Nb,3.407698582,1.183425551,1.299781201,5.813495428,2.189664303,2.282117493
Fe_Mo,0.670966189,1.056439626,1.088902361,2.422069022,0.682379019,0.857379809
Fe_Ru,3.546726114,1.328391303,1.536561947,3.03633041,1.926980606,2.200436194
Fe_Rh,14.47933743,3.337672875,3.478571166,16.00335804,4.748005595,4.926647976
Fe_Ag,16.47668497,3.217995684,3.453666783,14.55409597,4.729750878,5.000655575
Fe_Hf,10.03058128,2.690526182,2.751769743,11.1727085,3.787955912,3.98995501
Fe_Ta,5.399678249,1.920829418,2.219600985,7.245171845,2.85254956,2.976367023
Fe_W,0.120590856,1.072058369,0.482427296,2.44743065,0.790279972,0.774622079
Fe_Re,0.187987178,1.161274566,0.378956176,2.283196754,0.860937372,0.725942376
Fe_Os,1.583184875,0.830607648,0.983627475,4.09708598,1.819541226,1.977730198
Fe_Ir,5.258929271,1.888159949,2.077839211,6.325499678,2.836426702,3.037007301
Fe_Au,13.88424823,2.864602356,3.091217554,12.32321066,4.254888535,4.561739225
Co_Y,19.29203984,3.579153586,4.02672007,18.98514628,5.016991478,5.475366668
Co_Zr,7.580765034,2.399464637,2.496337781,8.327132529,3.406482403,3.475688496
Co_Ru,4.873167368,1.636923376,1.88403123,3.625746606,2.184427992,2.465670676
Co_Rh,12.82777421,3.131909058,3.323087097,13.31745924,4.394136282,4.606069676
Co_Pd,9.568090047,2.389298253,2.665270397,8.302353472,3.358144296,3.708181563
Co_Ag,16.8523461,3.28030422,3.550545054,14.78403737,4.75708594,5.029742846
Co_Hf,9.223312258,2.66973965,2.690469458,8.913391491,3.659248453,3.757398996
Co_W,2.155061692,1.209455602,1.60542583,2.876469017,1.885744257,1.891508074
Co_Re,0.898955772,0.475177525,1.305527055,1.679973656,1.202507452,1.356239669
Co_Os,2.034900128,1.060603767,1.272050765,3.724148391,1.848281899,2.048407549
Co_Au,14.82434875,3.021901356,3.27951574,13.48334921,4.442005938,4.740172856
Cu_Ru,12.39527521,2.941434087,3.220332269,11.72077083,4.192663697,4.269605268
Cu_Rh,17.73577691,3.774346471,4.040816093,17.72080435,5.38625507,5.468889547
Cu_Ag,19.92576423,3.368845291,3.747471534,16.63851284,4.950667793,5.327035409
Cu_Hf,12.09747621,3.009102592,3.033407008,11.37333625,4.265034043,4.107694831
Cu_Ta,14.70638001,3.422170246,3.626390379,14.91490825,4.89324367,4.818390602
Cu_W,15.02906648,3.447342818,3.662232957,15.66098963,4.974958491,4.976737414
Cu_Os,10.28837964,2.658136649,2.850662335,10.71124594,3.900990586,3.994981216
Cu_Ir,11.95321093,2.899317231,3.206308543,12.2123116,4.189859214,4.313836027
Cu_Pt,19.2727722,3.917437565,4.158665832,19.89474347,5.57045184,5.692015423
Cu_Au,18.60198464,3.214795968,3.578644813,15.75695212,4.747906092,5.15247862
Y_Zr,20.60521564,3.971058613,4.282032708,20.95672529,5.253616609,5.614920597
Y_Nb,36.90155932,5.692666094,5.879236239,39.81105725,7.885055768,8.11257884
Y_Mo,16.62903552,3.528412978,3.72973939,15.88745155,4.668229308,5.006184579
Y_Rh,19.46193713,3.804030073,3.955630772,16.86163841,5.055310041,5.210417245
Y_Ag,25.59492727,4.412658211,4.514889448,21.84129008,6.194015798,6.218830341
Y_Hf,21.02950556,4.041374729,4.305351512,20.30651632,5.264551285,5.600304664
Y_Ta,23.29543278,4.396585642,4.683256055,23.62229772,5.881551833,6.15806368
Y_W,15.3036817,3.366513255,3.721291943,14.61101207,4.416692971,4.751969678
Y_Re,18.39492172,3.808553003,4.081137126,18.05920206,5.151534596,5.411956245
Y_Os,16.08696144,3.496351383,3.919241211,15.0021925,4.727632812,4.936561937
Y_Ir,16.83570069,3.641686661,4.095587972,14.5729487,4.906344507,5.0387178
Y_Pt,17.88890787,3.75079803,4.149270658,14.71097901,5.077324612,5.144812885
Y_Au,20.59068435,3.900665791,4.295223809,17.32890184,5.479896704,5.487694441
Zr_Nb,8.67412434,2.592644164,2.769154706,11.73160823,3.416866446,3.61257708
Zr_Mo,5.506399107,2.133626853,2.191133006,7.451697014,2.666260759,2.848573588
Zr_Ru,6.471675285,2.457566979,2.336401968,6.715103725,3.035310074,3.036732615
Zr_Rh,7.870929284,2.593065393,2.403981877,8.638550395,3.331523716,3.229124402
Zr_Hf,10.44499471,2.923977857,3.088758809,12.18504295,3.634249833,3.888725161
Zr_Ta,8.476840343,2.631182365,2.669029026,10.25148849,3.292694954,3.450629257
Zr_Re,5.456286293,2.351330865,2.297179668,8.553067049,3.109883361,3.187199729
Zr_Os,4.195219962,2.082139913,2.251434792,6.692217839,2.77439912,2.729895256
Zr_Ir,5.262618945,2.311029853,2.539781766,6.389681633,3.021640587,2.860538126
Zr_Pt,6.988917445,2.549041105,2.715068778,6.644122043,3.300334997,3.094300935
Nb_Ag,16.34959963,3.494307691,3.412978943,15.771426,4.941812594,5.030817298
Nb_Hf,10.06007617,2.908145047,3.095977597,12.9450061,3.70106427,3.981907036
Nb_Ta,5.804344103,2.056847369,2.04718287,8.094051296,2.475893596,2.727333256
Nb_W,2.041262386,0.896419061,0.821939169,3.45203551,0.434944333,0.894570048
Nb_Re,2.092239855,1.271566459,1.060613102,4.777918267,1.585258207,1.619932328
Nb_Os,0.406188564,0.949137359,1.180785769,3.435212947,1.217116042,0.92772769
Nb_Ir,1.155127784,1.422199325,1.737923504,3.012299878,1.696533919,1.345945887
Mo_Ru,0.328630897,0.309170395,0.579842667,0.834597317,1.280775036,1.110504783
Mo_Rh,2.592047197,1.281726913,1.392724941,2.678112066,1.419859689,1.377161874
Mo_Ag,14.89658964,3.195674722,3.282208338,13.68855141,4.517141301,4.68073368
Mo_Hf,6.398326085,2.320104571,2.537848378,8.365297696,2.845025989,3.161226726
Mo_Ta,3.912886888,1.66850904,1.685022516,5.555871652,1.954332477,2.206623584
Mo_Re,-1.037350048,1.047282339,1.210256496,1.454295222,1.473510565,0.976500416
Mo_Os,-2.020647652,1.153095068,0.990451061,0.89605044,1.490294339,1.074849351
Mo_Pt,3.684347811,1.57400302,1.927101337,3.385465755,1.916888291,2.006771209
Mo_Au,15.50112004,3.351246903,3.604260121,15.49501832,4.782528793,4.944356319
Ru_Rh,4.700436476,1.677251722,2.070506068,3.121883631,2.033049793,2.385160997
Ru_Pd,6.375622216,1.976929256,2.116207463,4.657778632,2.54702789,2.888561756
Ru_Ag,17.16633986,3.444428932,3.688035855,15.75227654,4.868930963,5.090737026
Ru_Hf,8.132395713,2.560397495,2.670442745,7.704335502,3.211309799,3.341387635
Ru_Ta,4.192511158,1.914092307,2.005112046,4.573440145,2.3230737,2.323708845
Ru_Re,0.757480752,0.641058876,0.954224432,1.098937913,0.42999684,1.152726916
Ru_Pt,6.249831177,1.901022811,2.28988611,4.782035744,2.396252492,2.755532559
Ru_Au,16.26024898,3.367325139,3.673168988,15.44309989,4.768342083,5.001557404
Rh_Pd,8.431498442,2.145580086,2.347781898,6.800062067,2.679213582,3.076939132
Rh_Ta,5.909089189,2.112186217,2.236351023,6.659814976,2.824811639,2.718835886
Rh_Os,2.502540882,1.020549355,1.409287101,3.597932895,1.470076902,1.7384309
Rh_Ir,4.277208554,1.536371489,2.029481526,4.349791433,2.085186171,2.405499473
Rh_Pt,6.755288131,1.992242475,2.408567697,5.248101418,2.65698512,2.998283781
Rh_Au,15.24571093,3.188139035,3.538361193,14.2532484,4.58466366,4.829709855
Pd_Ag,18.56735468,3.718588982,3.834898933,17.10446294,5.183262134,5.417931887
Pd_Hf,10.51461457,2.92592752,2.929882484,10.00728987,3.789496318,3.741227266
Pd_W,3.873601054,1.734143034,1.855968835,4.205747851,2.065741755,2.026917243
Pd_Os,4.264255486,1.69449077,1.931829748,4.826946753,2.116329138,2.376623387
Pd_Ir,5.539148444,1.960382675,2.080333388,5.211271458,2.442772985,2.777416067
Pd_Pt,7.477021551,2.284756378,2.463492734,6.086185281,2.865968643,3.233014966
Pd_Au,18.45650755,3.736758127,3.837480061,17.8985559,5.22207768,5.461432997
Ag_Hf,17.73766431,3.574326661,3.636585081,15.01320192,4.975264055,4.997118502
Ag_Ta,126.3876277,11.02289098,11.08198459,131.5958098,15.57639339,15.60124267
Ag_W,171.77569,12.91750052,12.97136832,179.247845,18.26814768,18.3062973
Ag_Re,14.13852368,3.042523711,3.318964465,12.45120247,4.343203133,4.56193533
Ag_Os,15.17876477,3.193636564,3.40029118,14.13451277,4.590219526,4.812664803
Ag_Ir,16.48644281,3.3618456,3.671302249,15.44307416,4.798392747,5.028831446
Ag_Pt,20.93818631,3.928485362,4.20514708,19.88200231,5.553247948,5.775133414
Ag_Au,19.25148274,3.403885467,3.789498932,17.22466381,4.969343573,5.274594657
Hf_Ta,9.668585346,2.894552432,2.910877515,11.27592401,3.659037913,3.832931498
